"","Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"23","Bahamas, The","BHS","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","5333877339.9944","5274646188.6624","5281406699.9996","5377135318.6392","5662640516.6702","6637884855.3188","7386112317.3186","6976558277.2096","6690184460.7625","7708079964.8703","8202710522.8475","8550949974.0223","8947601304.4442","9041309133.0717","9380827187.1234","9974318030.5535","10509743883.861","10945837821.409","11055352871.724","10578175601.501","10782479460.14","11072141158.271","11420995425.846","11331939743.513","11874815835.949","12238745672.553","12330322560.778","13309085826.765","13435858951.296","14147593739.182","10911762266.639","12651107437.572"
"24","Bosnia and Herzegovina","BIH","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","3143136172.4284","3883146840.1313","7837545514.7902","10890451252.434","15756036370.072","16976736047.548","18886846866.196","19487136332.487","20785396593.604","21526419895.153","24473952895.395","25415388799.306","28767340920.571","31758013914.677","35149002076.845","35029270658.89","35200312392.448","36802733706.959","37417621469.608","39558647434.681","40143330194.417","41470636219.81","44340179177.467","45717788943.451","49289735539.9","51730207210.459","50605728861.315","56007325758.788"
"25","Belarus","BLR","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","53250955635.669","54391157109.121","50290136477.087","47617830544.925","42840582458.874","39228392037.094","41127085695.238","46488135407.421","51008549597.629","53563188138.914","57659973001.643","61784186325.788","66007857203.32","72302377948.293","82560911808.505","93400148664.821","105387913202.19","116840196948.06","130712030599.48","130621331528.75","142729488499.92","154983303603.24","167209008145.49","173067538960.12","174210112547.42","163948504069.03","160479887712.15","167108190268.28","176825035493.22","183774398518.94","182151459320.46","194830474120.49"
"26","Belize","BLZ","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","815191857.09123","938372241.88267","1068881853.6796","1158729018.6445","1175469643.8336","1214829738.5224","1245371522.4186","1317821006.8609","1373194277.6499","1507780970.8243","1731158938.2393","1839402546.9602","1969676064.048","2162976652.4037","2286242558.486","2424834534.3047","2611581055.3917","2726432177.5614","2731020076.8065","2861917397.0245","2852948908.3488","2992108493.1942","2877754652.1891","3021937022.522","3047960905.344","3208205954.7275","3199122544.2909","3142833046.1291","3209620142.091","3413585151.7193","3118249940.3523","3730446284.3429"
"27","Bermuda","BMU","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","4700905409.0714","4635082852.0573","4565102131.1907","4691734061.2224","4650207512.1346","4857325794.2189","5069411917.9103","5441446654.0373","5501636897.9089","5514762250.7972","5281002855.0676","5872773386.67"
"28","Bolivia","BOL","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","15452183829.003","16901932311.916","17778036499.419","18959215198.333","20381203761.99","21776352416.665","23204745342.685","24859832800.913","26558455768.333","26921045311.43","28129616809.361","29275315682.111","30471917020.78","31540570279.861","33510905394.856","36257389727.656","39361711666.734","42156083523.1","45849622668.747","47362830022.53","49578723011.015","53471345613.937","57756234187.726","65495334662.97","71666096539.752","74894854641.203","81222638742.541","91495898239.963","98178462888.841","102545287150.25","95588814882.287","104106476338.22"
"29","Brazil","BRA","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","970854098978.38","1018393173410","1039691964044.9","1110513058302.5","1183277702956.4","1291148271502.4","1344640977517.3","1409779863023.5","1424428426880.6","1436198070400.9","1536381998034.9","1586812024460","1658897262303","1714146776160.9","1865757891088","1987185833915.7","2138178911450.1","2338293554878.2","2496150291964.5","2515143574925.5","2712465331986.7","2894294561191.2","2923719823247.3","3090347659227.1","3127764536936.5","2958026429302.9","2876740136515.9","2962271099133.4","3058475755190.9","3154294912145.6","3086112276640.5","3343313239305.3"
"30","Barbados","BRB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","2441098968.3751","2432913728.5696","2358680218.7727","2421963935.348","2518549765.6953","2609078517.249","2753355633.004","2949492578.0699","3094794593.9533","3132779905.3584","3339184524.7852","3317196066.2691","3386937669.6642","3516278216.9088","3691487509.4376","3909113037.3056","4208937422.6939","4509332182.4312","4571177039.0676","4410370336.688","4439030119.3668","4316787375.6091","4181104155.7585","4178437974.8182","4140504807.3922","4234834096.9933","4352678557.6283","4319410929.199","4358423264.3998","4425334673.4125","4028355426.1291","4164810195.3933"
"31","Brunei Darussalam","BRN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","14450109617.413","15408743061.397","16509841818.349","16952657548.742","17859283753.278","19050412632.821","19957590746.677","20003072179.759","20115237016.853","21021308134.487","22110111947.695","23228621563.644","24504099645.935","25713344431.539","26536753668.761","27474956035.507","29568272358.028","30569261041.094","30511462552.269","30197283909.503","30974245587.384","32155106321.336","34364760477.971","33509559006.476","33313972350.929","27254603848.395","25364170400.158","27428959648.73","26687321434.309","28794177323.8","29567026070.424","29607524054.166"
"32","Bhutan","BTN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","773350842.86204","774838808.38838","803453469.92667","849601503.98936","939789517.84499","971463329.19391","1058982884.7474","1169489853.7147","1162209574.9899","1235937294.7439","1589927585.5609","1762634327.8889","1957203720.7689","2135804771.0015","2323562814.9696","2594467186.7438","2892085371.8988","3478276275.8891","3665857270.5669","3884550684.1849","4328107577.6216","4733983718.2604","5108157657.0065","5275721526.0762","5790544513.8515","6422593662.2793","7042038049.76","7585887017.9729","7976936055.7702","8581822998.7291","8065882369.8325","8745866639.964"
